"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FAM111B",508.66659757897,3.69882834939263,0.490667056407578,7.53836700689389,4.75892968809409e-14,2.37727802734135e-12
"IL1RAPL2",13.4485428868276,6.70340749136769,1.22822264945995,5.45781132949728,4.8203946132709e-08,6.94288887232564e-07
"ZAR1L",1.85452115482039,2.43245367632143,0.797161764440483,3.05139280987559,0.00227782362645749,0.00843600242589347
"BNIP5",10.0643226968597,4.18396002493151,0.815370634209524,5.13135971469923,2.87656575328643e-07,3.43278199591093e-06
"PAX5",125.321328167207,3.05123561154987,0.741131284626189,4.11699745354678,3.83840312249517e-05,0.000252346830440778
"AKR1C3",5380.41847418514,2.37505875496557,0.751247530573503,3.16148627224431,0.00156966216942803,0.00617398650342394
"BECN2",2.3705955918179,4.48698020114057,1.63927091154361,2.73718039498147,0.00619683015153042,0.0195459391764177
"CPNE4",77.5889740351134,2.93364036511877,0.620802216140512,4.72556361566655,2.29477978306398e-06,2.1532070557981e-05
"C20orf204",49.7336282065877,2.55214372177076,0.50389278923423,5.06485462046256,4.08712138513949e-07,4.68163041150774e-06
"ARL9",39.7975943505432,2.81762414774186,0.677187224572641,4.16077569909859,3.17168475017089e-05,0.000213588174518145
"SPTSSB",86.927844530828,3.33692900961962,0.769018720397938,4.33920387255707,1.42999816032696e-05,0.000105375816662699
"FAM72A",44.0529885567939,2.5195658620006,0.582919551069611,4.32232176357337,1.54395799730623e-05,0.000113043672612264
"XRCC2",196.227399296742,3.82087493558383,0.431436521899553,8.85616942849684,8.28109829999699e-19,9.13281126041697e-17
"MMP1",507.148133073854,3.34157835078334,0.766849077170396,4.35754368136357,1.3153025374159e-05,9.81275870152533e-05
"H2AC13",12.9849598481514,3.89942631526504,0.744383049398685,5.23846737028067,1.61915595829818e-07,2.05353952066606e-06
"CLPSL2",7.76458997978075,5.61842875405417,1.1277562645739,4.98195304299817,6.29457115458515e-07,6.85258773905696e-06
"H2AC11",53.5785186090936,3.24712867587319,0.739947763805687,4.38832149336138,1.14228834971045e-05,8.66207807912434e-05
"CHRNG",1.33675485821259,2.60433911472995,0.943696062997884,2.7597223479524,0.00578505050748747,0.0184812367807769
"SCN8A",117.503154644849,3.27114546589049,0.579325439364681,5.64647302469195,1.6377284845827e-08,2.63665046364869e-07
"HCAR1",112.384006141215,2.41409269442558,0.615342697428842,3.92316786160405,8.73922161786292e-05,0.000516725434639193
"NPSR1-AS1",1.70469031973287,3.32650731237306,1.01944247660864,3.26306524271904,0.00110214143907543,0.00459138447311186
"H3C12",2.8811661363016,4.44712999718097,1.02366520131072,4.34432077156357,1.39707250507785e-05,0.00010318268592178
"MAGEA3",359.2622536679,9.70782074334063,2.60015262807813,3.73355803752029,0.000188793664549745,0.0010100704401233
"C6orf141",176.24455599644,2.35116504247434,0.61875207846778,3.79984993068071,0.000144783737392041,0.000803136697441559
"RAD54B",65.4900510719892,2.63971618714625,0.462425563689436,5.70841318997468,1.14034314271959e-08,1.91418335331952e-07
"BLM",199.694440378258,2.37994896770843,0.37053876307469,6.42294195608544,1.33665470596646e-10,3.4132539465893e-09
"HMGA2-AS1",9.62615330073926,2.17801358482255,0.561954206760688,3.87578482128896,0.000106281577130485,0.000613012158744779
"OGDHL",156.499215145815,5.08746173561868,0.791080259644671,6.43103107882355,1.2674124088889e-10,3.25098403174435e-09
"ZNF695",23.3392902433774,4.35966107771844,0.848832512105703,5.13606749923304,2.80546930115036e-07,3.36230095874905e-06
"SLC28A3",138.254929487783,2.28263939300947,0.655681665509936,3.48132258850675,0.000498944187930178,0.00234901977031512
"DMBX1",11.367810874191,4.22047295277206,0.792948330560281,5.32250688993817,1.02346906522966e-07,1.359207404894e-06
"CCDC154",79.7231372897153,3.95512589964208,0.74776074569465,5.28929329657159,1.22789859055032e-07,1.5999827011229e-06
"MYH6",3.08774838849721,4.55057067067391,1.21430813461248,3.74745959527492,0.00017863460034032,0.000963438335496749
"LHFPL5",86.3132130812878,2.25645374701577,0.485967914014291,4.64321549210225,3.43028243130854e-06,3.06257010654449e-05
"STPG3",8.11914628040263,2.71114572597378,0.616759036428705,4.39579408787013,1.10368522935976e-05,8.3986767003513e-05
"PRB3",10.6704138416604,2.99954684524952,0.751569605648243,3.99104330817417,6.57832650900669e-05,0.000403039686234525
"ELOVL2",99.4788941181894,2.93519462328474,0.738370696003197,3.97523173545884,7.03107593109057e-05,0.000427047683946739
"AVPR1B",10.6242685750586,4.17376226252519,0.929844987284433,4.48866458345327,7.16710407973753e-06,5.81442142986241e-05
"AKR1B10",1647.29205498259,6.93524412703585,1.07090633285258,6.47605109268742,9.41541771267231e-11,2.4849083348277e-09
"MB",220.793215654482,3.05496877761833,0.641896531413003,4.75928538029867,1.94279582508812e-06,1.86578525501689e-05
"SULT1C2",413.93756050745,2.04530462543477,0.671086278855718,3.04775211456008,0.00230560031405226,0.00852519429373164
"CACNA1E",26.9161374566621,3.11894426522113,0.802867701721669,3.88475493351255,0.0001024331594257,0.000594419572071508
"DCAF12L2",7.33059387914477,2.80055606375361,1.06256786968123,2.63564911349499,0.00839765197629093,0.02509293154015
"TXNRD1",21263.0073944737,2.69655208095255,0.594876247826816,4.53296310081889,5.8161978361783e-06,4.83708489625189e-05
"B3GNT6",347.576160771544,7.20535235096344,1.1133789591225,6.47160815455166,9.69653141452766e-11,2.55025478873562e-09
"C2CD4A",231.664171058534,2.67090075594384,0.634109536778049,4.2120494978121,2.5306407110306e-05,0.000174748931615601
"WDHD1",596.949240741619,2.40239509163648,0.411884235100533,5.8326949344155,5.45392293066072e-09,9.8217177271215e-08
"MMP17",160.478334214963,2.77678792796751,0.520459561359535,5.33526163053674,9.54068897492871e-08,1.28195637792023e-06
"AKR1C4",34.8605754265176,4.81318427980375,1.28577051192428,3.74342406764356,0.000181529477178717,0.000976929852549017
"STK39",2183.08864929575,2.18727711289934,0.279071941599381,7.83768192661686,4.58939749638135e-15,2.72842071471067e-13
