"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ADRA1D",55.656166824684,-3.17600968681026,0.595760576488065,-5.33101687515552,9.76643420014875e-08,1.30787689044e-06
"AQP4",13676.8769694796,-3.99639908914662,0.4162752471512,-9.60037647324978,7.96529500727567e-22,1.37757363425073e-19
"SYNPO",8869.29943454746,-2.30991019633747,0.337709539594805,-6.8399317327813,7.923092814091e-12,2.52620510967714e-10
"MAL",371.857189277134,-2.73864154916009,0.369975478629942,-7.40222449147596,1.3392184496009e-13,5.98297807944011e-12
"CALB2",82.3225381281353,-2.69396522600548,0.536907610580064,-5.01755827803404,5.2332329531878e-07,5.81696481685394e-06
"FRMD3",508.065199619741,-2.95532393326634,0.394582555669939,-7.48974806615226,6.90059427767256e-14,3.29568340512525e-12
"ID4",2422.44650737287,-2.36297352473599,0.507350276856426,-4.65747952159821,3.20104253545049e-06,2.89396146025111e-05
"TPSAB1",1194.65436400012,-2.78137019704543,0.491751418605871,-5.65604915778523,1.54897120031465e-08,2.51325256090854e-07
"NEGR1",400.195196667397,-2.21794184324393,0.42874560834442,-5.17309518762981,2.30247640492692e-07,2.81991597897407e-06
"MYOZ2",7.44773375712055,-5.02309710182352,0.978247811986635,-5.1347900197421,2.82459208968067e-07,3.37959186663102e-06
"SYNPO2",1395.69332062977,-2.67540818879198,0.376685253711922,-7.1025031174649,1.2251726600493e-12,4.60024122635944e-11
"IL17D",94.7613122322557,-2.33967242556845,0.295945900222366,-7.90574366399564,2.66338743598845e-15,1.68427899657009e-13
"RAB40A",76.4764104415484,-2.79179355076778,0.404740654161868,-6.89773444318065,5.28383991294603e-12,1.74818523728471e-10
"COL6A5",406.205096218754,-2.01331291690684,0.606736154510719,-3.31826758952647,0.000905776653192629,0.00389049392582023
"MRGPRF",195.940924896905,-2.42565035483651,0.414369419504003,-5.8538353475505,4.80364207769393e-09,8.77298759933399e-08
"HPSE2",94.5102486807709,-2.06063880695942,0.62975112489081,-3.27214787796799,0.00106733733723628,0.00447005027917207
"LRRN3",383.884485213157,-2.82979926798575,0.505458415275272,-5.59848086898434,2.16238259335978e-08,3.38812849854567e-07
"MMRN2",2241.56372242709,-2.89783837132315,0.311879122124802,-9.2915433119744,1.52067130770524e-20,2.34563549213533e-18
"OLR1",3678.16753759063,-2.70106497515523,0.36940977781591,-7.31183941888314,2.63509913594267e-13,1.11815386941329e-11
"PTPRM",3290.69358336358,-2.15213056006771,0.346698959384619,-6.20749068265936,5.38372997563779e-10,1.19441371830744e-08
"SULT1B1",113.557978063628,-2.57167336639758,0.348715370215374,-7.37470609571713,1.64707998623399e-13,7.25891679647408e-12
"TRAPPC3L",6.70544130412318,-2.63238102094803,0.559992951382898,-4.70073956189517,2.59220950451315e-06,2.40363731838061e-05
"HSPB7",356.119801233337,-2.4989065932886,0.538728317132994,-4.63852838957359,3.50898740984091e-06,3.11335692107494e-05
"HEG1",7994.8404357632,-2.88202692599133,0.322297424655948,-8.94213451772966,3.81724540764177e-19,4.5865208111081e-17
"WFIKKN2",12.3601809538176,-4.02827021879431,0.615573003888088,-6.54393580184789,5.99205277216398e-11,1.62848300875871e-09
"CD34",3656.68863682656,-2.15482036303333,0.325637613768892,-6.6172342257815,3.65981381258363e-11,1.02767391792708e-09
"MSRB3",2195.71042898843,-2.83145185998451,0.323161317317406,-8.76172892067861,1.92278215034347e-18,2.03218489399032e-16
"GSTA3",24.2413263680957,-5.52233439552219,0.727577870818114,-7.59002522893211,3.19843207302839e-14,1.64452715754877e-12
"SELP",848.096018292155,-2.82425100021845,0.361425031363222,-7.81420973961308,5.53089313107947e-15,3.22927773118704e-13
"SLCO2A1",5582.64434703849,-2.3341166337285,0.479072099682164,-4.87216148733572,1.10383883653357e-06,1.13307269780687e-05
"FZD4",2329.80254322593,-2.01893770625302,0.324700103762172,-6.21785359123816,5.0400148433741e-10,1.12913149027858e-08
"ADGRE1",357.122384868926,-3.79734865277957,0.445964255502903,-8.51491707221555,1.6670956100017e-17,1.48664553440346e-15
"CATSPERD",47.962289119696,-3.31282715068467,1.00531807538366,-3.29530248366458,0.000983157904131217,0.00416719491151347
"P2RY14",325.164038155069,-2.08547793175793,0.352797337171149,-5.91126324387825,3.39493966711678e-09,6.42113319474805e-08
"DES",1583.87237340127,-5.01130377442765,0.521326470123344,-9.61260181790116,7.07385024846836e-22,1.25185214978515e-19
"WFDC5",3.03476887586012,-3.11643797791988,0.793716721275867,-3.92638569200147,8.62318436375895e-05,0.000510525611618913
